职称 地区 公司资质 要求 薪资 福利
"Python Web 后端开发" 上海 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 定期体检 出国机会 员工旅游 "
Python开发工程师 北京 "民营公司 " " 本科  2年" 1-1.8万/月 " 五险一金 补充医疗保险 餐饮补贴 年终奖金 "
"python web工程师" 北京-海淀区 "民营公司 " " 本科  无需经验" 1-2万/月 " 周末双休 节日福利 带薪年假 五险一金 "
Python研发工程师 北京 "外资（欧美） " " 本科  2年" 1-1.5万/月 " 带薪年假 五险一金 周末双休 补充医疗保险 "
Python开发工程师 上海 "上市公司 " " 本科  1年" 1-2万/月 " 五险一金 补充公积金 免费班车 定期体检 "
Python开发工程师 上海-浦东新区 "上市公司 " " 本科  2年" 1-1.5万/月 " "
Python开发工程师 上海-浦东新区 "上市公司 " " 大专  3-4年" 1.3-2万/月 " 五险一金 专业培训 补充医疗保险 定期体检 "
Python开发工程师 深圳-南山区 "上市公司 " " 本科  2年" 1-1.5万/月 " 五险一金 员工旅游 专业培训 年终奖金 "
Python开发工程师 广州-黄埔区 "民营公司 " " 本科  2年" 0.8-1.3万/月 " 五险一金 补充医疗保险 免费班车 员工旅游 "
"开发工程师  python" 北京-石景山区 "上市公司 " " 大专  3-4年" 1.3-1.6万/月 " 五险一金 通讯补贴 餐饮补贴 定期体检 "
"Python 开发工程师" 深圳-南山区 "民营公司 " " 大专  1年" 1-1.5万/月 " "
python后端开发工程师 广州-天河区 "民营公司 " " 1年" 1.3-2.5万/月 " 周末双休 社保五险 团队建设 员工旅游 "
Python开发工程师 深圳-龙华区 "上市公司 " " 本科  2年" 1-1.5万/月 " "
Python开发工程师 深圳-南山区 "上市公司 " " 大专  3-4年" 1.2-2万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python开发工程师 上海-普陀区 "合资 " " 本科  3-4年" 1.3-1.5万/月 " 五险一金 年终奖金 定期体检 弹性工作 "
Python开发工程师 上海-徐汇区 "民营公司 " " 大专  2年" 0.8-1.2万/月 " 五险一金 员工旅游 餐饮补贴 年终奖金 "
Python开发工程师 北京 "国企 " " 大专  3-4年" 1.4-1.9万/月 " "
Python开发工程师 上海-徐汇区 "民营公司 " " 大专  5-7年" 1.3-1.8万/月 " 五险一金 弹性工作 专业培训 定期体检 "
"Python 开发" 上海-徐汇区 "合资 " " 本科  3-4年" 1.3-2.5万/月 " 五险一金 定期体检 团建 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 0.8-1.5万/月 " "
"Python开发工程师 (MJ000115)" 北京-海淀区 "民营公司 " " 大专  5-7年" 0.8-1.7万/月 " 五险一金 餐饮补贴 弹性工作 定期体检 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python工程师 深圳-龙华区 "民营公司 " " 本科  2年" 1-2万/月 " 五险一金 年终奖金 绩效奖金 包午餐 "
python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 员工旅游 绩效奖金 专业培训 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1-2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 五险一金 交通补贴 年终奖金 节日福利 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  1年" 1.2-2.2万/月 " 周末双休 定期体检 六险一金 包一日三餐 "
Python开发工程师 广州-黄埔区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 交通补贴 餐饮补贴 定期体检 "
Python开发工程师 北京-西城区 "民营公司 " " 本科  3-4年" 1-1.8万/月 " 五险一金 餐饮补贴 绩效奖金 周末双休 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  1年" 1.3-2.6万/月 " 年终奖金 专业培训 节日福利 五险一金 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1-1.6万/月 " 做五休二 五险一金 弹性工作 周末双休 "
Python开发工程师 广州-天河区 "合资 " " 大专  3-4年" 1.4-1.6万/月 " 五险一金 专业培训 弹性工作 年终奖金 "
Python量化工程师 深圳-宝安区 "民营公司 " " 大专  3-4年" 1.3-2万/月 " 五险一金 员工旅游 出国机会 年终奖金 "
"Python web开发工程师" 上海-徐汇区 "国企 " " 本科  2年" 1-1.5万/月 " 五险一金 员工旅游 餐饮补贴 通讯补贴 "
Python开发工程师 上海-浦东新区 "上市公司 " " 本科  3-4年" 0.9-1.5万/月 " "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 定期体检 "
Python开发工程师+双休+包吃 深圳-南山区 "民营公司 " " 大专  2年" 1-2万/月 " 五险一金 绩效奖金 全勤奖 带薪年假 "
Python高级开发工程师 广州-天河区 "民营公司 " " 大专  1年" 0.8-1.2万/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
Python开发工程师 北京-西城区 "民营公司 " " 大专  2年" 1-1.5万/月 " "
python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1.2-1.5万/月 " 五险一金 餐饮补贴 通讯补贴 定期体检 "
Python高级开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 绩效奖金 专业培训 弹性工作 "
Python开发工程师 北京-海淀区 "上市公司 " " 本科  3-4年" 1.3-2.2万/月 " "
Python开发工程师(驻上市公司) 深圳-南山区 "民营公司 " " 本科  3-4年" 1-1.7万/月 " 五险一金 周末双休 包三餐 下午茶 "
Python开发工程师 深圳-罗湖区 "上市公司 " " 大专  3-4年" 1-1.5万/月 " "
Python开发工程师 北京-海淀区 "国企 " " 本科  1年" 0.7-1.4万/月 " 五险一金 补充医疗保险 带薪年假 餐饮补贴 "
Python开发工程师 上海-浦东新区 "外资（欧美） " " 本科  1年" 0.8-1.5万/月 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python开发工程师 深圳-罗湖区 "民营公司 " " 本科  3-4年" 1.3-2.6万/月 " 五险一金 绩效奖金 做五休二 年终奖金 "
Python软件开发工程师 上海-浦东新区 "合资 " " 本科  2年" 18-25万/年 " 五险一金 定期体检 公司旅游 绩效奖金 "
Python开发工程师 上海-松江区 "民营公司 " " 本科  2年" 1-2万/月 " 五险一金 年终奖金 交通补贴 餐饮补贴 "
Python开发工程师 上海-静安区 "外资（非欧美） " " 本科  1年" 1.3-2.5万/月 " 做五休二 周末双休 带薪年假 五险一金 "
"Python 全栈开发（全职/实习）" 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.2-2.3万/月 " 五险一金 定期体检 员工旅游 交通补贴 "
软件工程师（QT/C++/Python) 深圳 "合资 " " 本科  3-4年" 1-2万/月 " 五险一金 餐饮补贴 出国机会 年终奖金 "
python软件工程师（后端） 广州 "民营公司 " " 本科  3-4年" 1-2万/月 " 做五休二 做一休一 周末双休 带薪年假 "
Python开发工程师 广州-天河区 "外资（非欧美） " " 大专  2年" 0.9-1.1万/月 " 五险一金 带薪年假 绩效奖金 节日福利 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 0.8-1.5万/月 " 免费包吃住 五险一金 节日福利 专业培训 "
python开发工程师 深圳-福田区 "民营公司 " " 本科  无需经验" 13-18万/年 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python开发工程师 上海-杨浦区 "上市公司 " " 大专  2年" 0.8-1.5万/月 " 五险一金 带薪年假 高温补贴 "
Python开发工程师 上海-黄浦区 "民营公司 " " 大专  2年" 1.3-2万/月 " 五险一金 餐饮补贴 专业培训 做五休二 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.3-2.5万/月 " 做五休二 弹性工作 五险一金 带薪年假 "
Python开发工程师 上海-闵行区 "民营公司 " " 本科  无需经验" 1-1.5万/月 " 带薪年假 五险一金 节日福利 免费午餐 "
Python高级开发工程师 深圳-龙华区 "合资 " " 大专  5-7年" 1.2-1.8万/月 " 五险一金 年终奖金 绩效奖金 员工旅游 "
Python开发工程师 上海-徐汇区 "民营公司 " " 本科  2年" 1-1.5万/月 " 节日福利 专业培训 加班补贴 五险一金 "
Python开发工程师 上海-浦东新区 "合资 " " 大专  3-4年" 1-1.3万/月 " 弹性工作 周末双休 五险一金 节日福利 "
Python高级开发工程师 北京-朝阳区 "外资（非欧美） " " 本科  2年" 1-1.5万/月 " 五险一金 定期体检 出国机会 年终奖金 "
中级Python开发工程师 广州-天河区 "民营公司 " " 本科  2年" 1-1.5万/月 " 带薪年假 节日福利 专业培训 五险 "
"Python中级/高级开发工程师（广州） (MJ003037)" 深圳-南山区 "民营公司 " " 本科  3-4年" 1.3-2.5万/月 " "
Python开发 北京 "国企 " " 本科  2年"  " "
Python开发工程师 深圳-福田区 "上市公司 " " 大专  3-4年" 0.8-1.3万/月 " "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  2年" 1.3-1.8万/月 " "
Python开发工程师 广州-海珠区 "民营公司 " " 大专  3-4年" 1.2-1.5万/月 " "
Python工程师 深圳-宝安区 "民营公司 " " 大专  2年" 1-1.2万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python开发工程师 广州 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " 五险一金 餐饮补贴 弹性工作 定期体检 "
Python开发工程师 深圳-福田区 "合资 " " 本科  1年" 0.8-1.6万/月 " 灵活上班时间 透明扁平管理 机器人公司 弹性工作 "
Python高级开发工程师 北京-朝阳区 "合资 " " 本科  3-4年" 1-2万/月 " "
Python后端开发（北京） 北京-朝阳区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 项目奖金 周末双休 餐饮补贴 "
Python后端工程师 上海-长宁区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 办公环境佳 周末双休 "
手游服务端开发-c/python 广州-天河区 "民营公司 " " 本科  1年" 1-1.5万/月 " "
Python开发工程师 上海 "上市公司 " " 本科  2年" 1-1.5万/月 " 五险一金 出差补贴 节日福利 定期体检 "
Python开发工程师 广州-黄埔区 "民营公司 " " 大专  3-4年" 16-30万/年 " 五险一金 员工旅游 交通补贴 年终奖金 "
Python开发工程师 广州-白云区 "民营公司 " " 本科  1年" 1-1.5万/月 " 员工旅游 绩效奖金 带薪年假 全勤奖 "
Python开发工程师 深圳 "外资（非欧美） " " 大专  2年" 1-1.5万/月 " 弹性工作 五险一金 年终奖金 绩效奖金 "
Python开发工程师 北京-海淀区 "民营公司 " " 大专  无需经验" 0.6-1.1万/月 " 周末双休 带薪年假 五险一金 餐饮补贴 "
Python开发工程师 上海 "国企 " " 本科  3-4年" 1-1.5万/月 " 做五休二 周末双休 五险一金 餐饮补贴 "
Python开发工程师 广州 "民营公司 " " 大专  3-4年" 1-2万/月 " 员工旅游 专业培训 绩效奖金 带薪假期 "
Python算法开发工程师 北京-朝阳区 "民营公司 " " 本科  1年" 0.8-1.5万/月 " 五险一金 交通补贴 餐饮补贴 专业培训 "
Python开发工程师 上海-嘉定区 "外资（欧美） " " 本科  1年" 1-1.5万/月 " 定期体检 员工旅游 五险一金 补充医疗保险 "
python后端开发工程师 上海-徐汇区 "上市公司 " " 本科  无需经验" 1-1.5万/月 " 五险一金 弹性工作 绩效奖金 "
初级Python后端开发工程师 上海-浦东新区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 补充公积金 员工旅游 弹性工作 "
Python开发工程师 广州-天河区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 年终奖金 弹性工作 周末双休 "
Python/C#开发工程师 上海-松江区 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 免费班车 员工旅游 交通补贴 "
python后端开发/双休/大平台/技术大牛 深圳-南山区 "民营公司 " " 本科  1年" 1.1-2万/月 " 五险一金 餐饮补贴 专业培训 弹性工作 "
Python开发工程师 深圳-罗湖区 "外资（非欧美） " " 大专  2年" 1-1.6万/月 " 五险一金 员工旅游 专业培训 周末双休 "
Python开发工程师 广州-天河区 "合资 " " 本科  3-4年" 1.4-2万/月 " 带薪年假 五险一金 绩效奖金 节日福利 "
python开发/算法平台开发 深圳-南山区 "民营公司 " " 大专  1年" 1-1.8万/月 " 五险一金 节日福利 专业培训 免费班车 "
Python开发工程师 广州 "民营公司 " " 大专  1年" 1-1.5万/月 " 周末双休 带薪年假 五险一金 包吃 "
Python开发工程师 深圳-宝安区 "民营公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python开发工程师 上海-闵行区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 绩效奖金 餐饮补贴 带薪年假 "
Python开发工程师 深圳 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 员工旅游 弹性工作 定期体检 "
python工程师 广州-黄埔区 "合资 " " 本科  3-4年" 0.8-1.6万/月 " 五险一金 带薪年假 节日福利 定期体检 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python开发/爬虫工程师 深圳 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 绩效奖金 年终奖金 专业培训 "
Python开发工程师（OS0209） 深圳-南山区 "民营公司 " " 大专  3-4年" 1-1.6万/月 " 周末双休 五险一金 "
Python开发工程师 上海-静安区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 年终奖金 定期体检 员工旅游 "
python开发工程师(算法方向） 广州-番禺区 "民营公司 " " 本科  1年" 1-2万/月 " 六险一金 年终13/17薪 孝心红包 绩效奖金 "
Python开发工程师 上海-静安区 "民营公司 " " 大专  1年" 1-1.5万/月 " "
Python爬虫工程师 上海-奉贤区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 通讯补贴 绩效奖金 年终奖金 "
Python开发工程师 上海-浦东新区 "国企 " " 大专  2年" 0.8-1.5万/月 " 五险一金 免费班车 绩效奖金 年终奖金 "
Python开发工程师 上海-闵行区 "合资 " " 大专  无需经验" 0.8-1.3万/月 " 五险一金 绩效奖金 高温补贴 带薪年假 "
数据库及python工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1-2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
Python开发工程师 深圳-宝安区 "民营公司 " " 本科  2年" 1.2-2万/月 " 五险一金 年底双薪 丰厚奖金 节日福利 "
Python开发工程师 广州-越秀区 "民营公司 " " 大专  2年" 0.8-1.2万/月 " 五险一金 员工旅游 节日福利 提供住宿 "
python开发工程师（RPA方向） 广州 "民营公司 " " 大专  1年" 0.7-1.2万/月 " 五险一金 补充医疗保险 员工旅游 绩效奖金 "
Python后端开发工程师 深圳-龙岗区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 绩效奖金 年终奖金 专业培训 "
Python开发工程师 北京 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 股票期权 绩效奖金 "
Python开发工程师 广州-黄埔区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 专业培训 通讯补贴 绩效奖金 "
Python开发工程师 上海 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 补充医疗保险 通讯补贴 绩效奖金 "
"Python 工程师" 上海-浦东新区 "事业单位 " " 本科  1年" 1-1.5万/月 " 五险一金 交通补贴 餐饮补贴 免费班车 "
Python开发工程师 广州-天河区 "民营公司 " " 本科  2年" 0.8-1.3万/月 " 五险一金 餐饮补贴 通讯补贴 绩效奖金 "
Python开发工程师 广州-黄埔区 "民营公司 " " 本科  1年" 0.8-1.5万/月 " 周末双休 免费班车 五险一金 员工旅游 "
Python开发工程师 上海-徐汇区 "民营公司 " " 本科  2年" 1-1.5万/月 " 做五休二 五险一金 "
python工程师 上海-浦东新区 "民营公司 " " 本科  1年" 0.7-1.2万/月 " 年终奖金 绩效奖金 包住 五险一金 "
Python开发工程师 上海-浦东新区 "民营公司 " " 大专  2年" 1-2万/月 " 五险一金 绩效奖金 发展空间大 带薪年假 "
服务端开发工程师(python/go)(006779) 上海-闵行区 "民营公司 " " 本科  3-4年" 1-2万/月 " "
python软件开发 上海-嘉定区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 餐饮补贴 员工旅游 绩效奖金 "
